Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
action,Policy Action,string,65,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
logdesc,Log Description,string,4096,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
tz,Time zone,string,5,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
eventtime,Event time,uint64,20,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
vd,Virtual Domain Name,string,32,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
devid,Device ID,string,16,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
level,Log Level,string,11,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
subtype,Log Subtype,string,20,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
type,Log Type,string,16,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
logid,Log ID,string,10,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
time,Time,string,8,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
date,Date,string,10,43612 - LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,43612,LOG_ID_EVENT_WIRELESS_SYS_AC_CFG_LOADED,Wireless controller configuration loaded,Event,wireless,Notice,7.6.4
